Name,Overall,Pace,Shooting,Passing,Dribbling,Defense,Physical,Price
Habib Diarra,83,75,78,75,81,73,75,$47
Louis Forrest,71,66,35,50,52,72,73,$2.30
Giacomo Corona,72,77,72,66,70,48,68,$3.50
Sydney Osazuwa,75,84,74,59,74,40,73,$10.50
Yeray Diaz,81,87,49,72,74,76,76,$35.50
Sana Fernandes,73,86,72,61,74,47,56,$4.70
James Wilson,77,84,80,56,75,30,66,$19.50
Charalampos Kostoulas,81,91,79,69,83,51,84,$45
Max Moerstedt,79,75,76,55,74,39,71,$27.50
Eliezer Mayenda,82,85,83,69,78,41,77,$42
Octavio Ontivero,74,82,42,64,68,70,61,$9.50
Angelo Ndrecka,69,70,44,61,68,67,63,$1.70
Jonas Rouhi,75,76,48,64,70,74,58,$7.50
Matteo Prati,79,67,70,75,75,76,73,$23.50
Yoram Zague,76,83,56,71,72,70,63,$12
Michal Gurgul,78,83,44,68,74,72,73,$22
Atnan Bojaxhiu,80,91,68,72,85,53,70,$36.50
Diego Leon,77,89,60,66,75,72,73,$26.50
Mats Seitz,82,79,74,81,82,75,78,$49
Ezechiel Banzuzi,81,76,77,73,78,70,78,$41.50
Louey Ben Farhat,77,87,78,70,82,45,57,$18
Jobe Bellingham,84,73,82,77,83,83,81,$61
Valentin Barco,83,82,56,81,85,76,68,$43
Carlos Espi,81,85,78,64,76,47,80,$40
Jhon Solis,79,66,67,72,69,75,80,$24
Fabio Da Silva,80,88,77,66,82,40,73,$40.50
Christian Kofane,81,78,81,70,82,36,69,$42
Francsico Soriano,81,82,75,79,82,70,77,$44.50
